School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2019-20,School Type [Public School] 2019-20,Charter School [Public School] 2019-20,Magnet School [Public School] 2019-20,Shared Time School [Public School] 2019-20,Urban-centric Locale [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2019-20,Full-Time Equivalent (FTE) Teachers [Public School] 2019-20,Pupil/Teacher Ratio [Public School] 2019-20,Lowest Grade Offered [Public School] 2019-20,Highest Grade Offered [Public School] 2019-20,School Level (SY 2017-18 onward) [Public School] 2019-20
917 DASH,Minnesota,MN ,2.70003E+11,INTERMEDIATE SCHOOL DISTRICT 917,2-Special education school,2-No,2-No,2-No,41-Rural: Fringe,24,1.33,18.05,Prekindergarten,12th Grade,Other
917 INTRA-DAKOTA EDUCATIONAL ALT,Minnesota,MN ,2.70003E+11,INTERMEDIATE SCHOOL DISTRICT 917,2-Special education school,2-No,2-No,2-No,21-Suburb: Large,46,7.96,5.78,Kindergarten,12th Grade,Other
917 PACES,Minnesota,MN ,2.70003E+11,INTERMEDIATE SCHOOL DISTRICT 917,2-Special education school,2-No,2-No,2-No,41-Rural: Fringe,33,4.7,7.02,Kindergarten,12th Grade,Other
917 SUN,Minnesota,MN ,2.70003E+11,INTERMEDIATE SCHOOL DISTRICT 917,2-Special education school,2-No,2-No,2-No,21-Suburb: Large,140,26,5.38,Kindergarten,12th Grade,Other
917 TRANSITIONAL EDUCATION SERV ALT,Minnesota,MN ,2.70003E+11,INTERMEDIATE SCHOOL DISTRICT 917,2-Special education school,2-No,2-No,2-No,41-Rural: Fringe,0,3.36,0.00,7th Grade,12th Grade,High
A & M CONS H S,Texas,TX ,4.80735E+11,COLLEGE STATION ISD,1-Regular school,2-No,2-No,–,12-City: Mid-size,1840,132.83,13.85,9th Grade,12th Grade,High
A & M CONSOLIDATED MIDDLE,Texas,TX ,4.80735E+11,COLLEGE STATION ISD,1-Regular school,2-No,2-No,–,12-City: Mid-size,699,49.95,13.99,7th Grade,8th Grade,Middle
A A ANASTASIA ELEMENTARY SCHOOL,New Jersey,NJ ,3.40894E+11,LONG BRANCH PUBLIC SCHOOL District,1-Regular school,2-No,†,2-No,21-Suburb: Large,581,56.5,10.28,Kindergarten,5th Grade,Elementary
A A GATES ELEMENTARY SCHOOL,New York,NY ,3.62343E+11,PORT BYRON CENTRAL SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,384,27.5,13.96,Prekindergarten,6th Grade,Elementary
A A KINGSTON MIDDLE SCHOOL,New York,NY ,3.62367E+11,POTSDAM CENTRAL SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,33-Town: Remote,408,35.3,11.56,5th Grade,8th Grade,Middle
A B CHANDLER ELEMENTARY SCHOOL,Kentucky,KY ,2.10271E+11,Henderson County,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,296,18.5,16,Kindergarten,5th Grade,Elementary
A B DUNCAN EL,Texas,TX ,4.81944E+11,FLOYDADA ISD,1-Regular school,2-No,2-No,–,41-Rural: Fringe,419,30.66,13.67,Prekindergarten,6th Grade,Elementary
A B MCBAY EL,Texas,TX ,4.83042E+11,MEXIA ISD,1-Regular school,2-No,2-No,–,33-Town: Remote,530,37.4,14.17,Prekindergarten,2nd Grade,Elementary
A B MCDONALD ELEMENTARY SCHOOL,Idaho,ID ,1.60222E+11,MOSCOW DISTRICT,1-Regular school,2-No,2-No,2-No,32-Town: Distant,389,25.11,15.49,Prekindergarten,5th Grade,Elementary
A B SHEPARD HIGH SCH (CAMPUS),Illinois,IL ,1.70654E+11,CHSD 218,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,1779,115.2,15.44,9th Grade,12th Grade,High
A C BLUNT MIDDLE,Texas,TX ,4.80858E+11,ARANSAS PASS ISD,1-Regular school,2-No,2-No,–,31-Town: Fringe,350,25.49,13.73,6th Grade,9th Grade,Middle
A C HOUGHTON ELEMENTARY SCHOOL,Oregon,OR ,4.10852E+11,Morrow SD 1,1-Regular school,2-No,†,–,32-Town: Distant,244,15,16.27,Kindergarten,3rd Grade,Elementary
A C JONES H S,Texas,TX ,4.80972E+11,BEEVILLE ISD,1-Regular school,2-No,2-No,–,32-Town: Distant,962,53.13,18.11,9th Grade,12th Grade,High
A C JONES HEALTH PROFESSIONS MAGNET ACADEMY,TEXAS,TX ,4.80972E+11,BEEVILLE ISD,1-Regular school,2-No,1-Yes,–,32-Town: Distant,58,15.53,3.73,9th Grade,11th Grade,Secondary
A CHESTER REDSHAW SCHOOL,New Jersey,NJ ,3.41122E+11,New Brunswick School District,1-Regular school,2-No,†,2-No,13-City: Small,929,74.25,12.51,Prekindergarten,5th Grade,Elementary
A D OLIVER MIDDLE SCHOOL,New York,NY ,3.60558E+11,BROCKPORT CENTRAL SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,31-Town: Fringe,740,75,9.87,6th Grade,8th Grade,Middle
A DREWICZ ELEMENTARY,Massachusetts,MA ,2.50711E+11,Lynn,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,470,36,13.06,Prekindergarten,5th Grade,Elementary
A E ANGIER,Massachusetts,MA ,2.50861E+11,Newton,1-Regular school,2-No,2-No,2-No,13-City: Small,502,43.28,11.6,Kindergarten,5th Grade,Elementary
A E BUTLER INT,Texas,TX ,4.83624E+11,QUINLAN ISD,1-Regular school,2-No,2-No,–,41-Rural: Fringe,571,37.94,15.05,3rd Grade,5th Grade,Elementary
A E R O EDUCATIONAL CENTER,Illinois,IL ,1.70002E+11,A E R O  Spec Educ Coop,2-Special education school,2-No,2-No,2-No,21-Suburb: Large,109,26.1,4.18,Prekindergarten,12th Grade,Other
A F AMES ELEM SCHOOL,Illinois,IL ,1.73399E+11,Riverside SD 96,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,385,26.94,14.29,Prekindergarten,5th Grade,Elementary
A F MALONEY,Massachusetts,MA ,2.50272E+11,Blackstone-Millville,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,289,19.06,15.16,3rd Grade,5th Grade,Elementary
A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MIDDLE SCHOOL,New York,NY ,3.60273E+11,WINDSOR CENTRAL SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,562,53,10.6,Prekindergarten,8th Grade,Elementary
A G COX MIDDLE,North Carolina,NC ,3.70001E+11,Pitt County Schools,1-Regular school,2-No,2-No,2-No,22-Suburb: Mid-size,822,46.13,17.82,6th Grade,8th Grade,Middle
A G ELDER EL,Texas,TX ,4.82493E+11,JOSHUA ISD,1-Regular school,2-No,2-No,–,21-Suburb: Large,586,38,15.42,Prekindergarten,5th Grade,Elementary
A G RICHARDSON ELEM,Virginia,VA ,5.10105E+11,CULPEPER CO PBLC SCHS,1-Regular school,2-No,2-No,2-No,32-Town: Distant,589,39,15.1,Prekindergarten,5th Grade,Elementary
A G WEST BLACK HILLS HIGH SCHOOL,Washington,WA ,5.3091E+11,Tumwater School District,1-Regular school,2-No,2-No,–,13-City: Small,867,40,21.68,9th Grade,12th Grade,High
A H BUSH ELEMENTARY SCHOOL,Idaho,ID ,1.60153E+11,IDAHO FALLS DISTRICT,1-Regular school,2-No,1-Yes,2-No,13-City: Small,385,21.43,17.97,Prekindergarten,6th Grade,Elementary
A H ROBERTS ELEMENTARY,Tennessee,TN ,4.70333E+11,Overton County,1-Regular school,2-No,2-No,2-No,33-Town: Remote,370,24,15.42,Prekindergarten,4th Grade,Elementary
A H SNIPES ACADEMY OF ARTS/DES,North Carolina,NC ,3.70333E+11,New Hanover County Schools,1-Regular school,2-No,1-Yes,2-No,12-City: Mid-size,392,36.2,10.83,Kindergarten,5th Grade,Elementary
A J JORDAK ELEMENTARY SCHOOL,Ohio,OH ,3.90472E+11,Cardinal Local,1-Regular school,2-No,–,2-No,32-Town: Distant,329,19,17.32,Kindergarten,4th Grade,Elementary
A J KATZENMAIER ACADEMY,Illinois,IL ,1.70011E+11,North Chicago SD 187,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,326,25,13.04,4th Grade,5th Grade,Elementary
A J MCMULLEN SCH,Pennsylvania,PA ,4.22415E+11,Uniontown Area SD,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,147,13.19,11.14,6th Grade,8th Grade,Middle
A J MITCHELL ELEMENTARY SCHOOL,Arizona,AZ ,040553000451,Nogales Unified District (4457),1-Regular school,2-No,–,2-No,33-Town: Remote,316,17,18.59,Kindergarten,5th Grade,Elementary
A J SCHMIDT ELEMENTARY SCHOOL,New York,NY ,3.61656E+11,EVANS-BRANT CENTRAL SCHOOL DISTRICT (LAKE SHORE),1-Regular school,2-No,2-No,2-No,21-Suburb: Large,288,29,9.93,Kindergarten,5th Grade,Elementary
